# primitive nontrivial: X^3 +- Y^3 = A^9 + B^9, X>=Y, A>=B, gcd=1
# k=9  M=4000  branch=sumdiff
# X,Y,A,B,sign
9,6,2,1,-
307,306,4,3,-
322,191,7,2,+
18513,18001,20,6,-
80139,78252,32,19,-
11359053,9872110,237,160,+
47659077,46206258,277,14,-
324401821,156345820,677,424,-
671062383,47108463,862,698,-
24086948079,24085760640,1084,335,-
17032075533,8537280533,2607,947,+
