# X^3 + Y^3 = A^4 + B^4
# primitive nontrivial, X>=Y>0, A>=B>0, gcd(X,Y,A,B)=1
# sum branch, A,B <= 10^7
# n=7629
X,Y,A,B
967697,363104,31056,12427
3499344,263393,80905,12452
1382225,36833,40219,12489
826853029,748095597,5600751,12509
9557793,3417200,173827,12602
2242264,1207857,60058,12639
403453,211715,14808,12828
7837725,2571733,149419,12927
545153,516704,22815,13052
444217,37177,15533,13105
93420561,53004080,990935,13178
151331008,142095649,1586470,13187
953233,816239,34272,13200
9323035,8852501,196932,13230
26877137,3203887,373440,13296
536689,290337,19601,13317
5395008,2968705,116334,13499
16448875,4405493,259518,13554
24015953,16946040,369883,13628
235528625,10755288,1901267,13768
984865,436816,31640,13817
20241873,9914360,310277,13832
3467576,1580081,82176,13939
4148805,323021,91925,14087
14372381,7937925,242689,14225
85599929,57154498,949830,14247
1486313,867705,44423,14353
364167019,359502533,3119994,14400
769090209,110378288,4621718,14435
475736,80465,15897,14510
512456,70961,17202,14753
656309,366477,23059,14893
18483673,5674199,283914,15060
6089480,2678753,125107,15174
6130781,2407685,125025,15361
74437849,64743047,909366,15366
9844666,4650905,180210,15369
1213025,507528,36928,15383
1308947232,42156449,6881692,15719
386699168,17374049,2757654,15725
621193,503114,23505,15768
4749345,3726448,112258,16131
3220105,942633,76449,16237
705530,560473,25959,16446
918457,245049,29071,16563
9106897,9047064,196658,16569
1016977,125592,31445,16608
138275457,100440704,1382881,16816
86092277,59982907,961290,16824
189799231,146511041,1777488,16824
686080441,365571746,4391136,16827
346477517,150380597,2589937,16905
831393,295784,26834,16925
1369304,726753,41140,17161
56060481,15614776,651349,17214
5793501,4232261,128207,17279
1544617,514754,43947,17394
2291697,1518064,62686,17457
4219937,3196944,101878,17603
1092154,42953,33135,17664
635837,98229,20017,17669
17235593,3492825,268051,17779
5835505,1501416,119217,17830
17413781,4401021,270649,17899
95215973,89992365,1123283,17983
468197273,245742370,3292188,18003
13034856,9722705,236600,18011
5991088,5612865,140687,18288
692497,408984,23157,18332
2540569,1473577,66439,18343
541416055,234621833,3619452,18444
1130689,443137,34489,18521
65636885,22920523,736866,18822
2193989,1087277,58509,18889
1422448,279745,40796,18991
1537217,1442424,50498,19019
764849,64712,23708,19053
589967,454177,20190,19092
1484666,364105,42255,19092
949585,937823,35256,19206
137420800,120734001,1444600,19251
429191937,175636657,3031695,19331
897185,711288,31129,19448
74716685,26364403,812328,19608
28260817,21973569,426797,19689
1494441,788761,43791,19711
69474967,16407497,763470,19734
92959825,68759808,1030662,19801
2291287,1131017,60414,19830
273210312,30885313,2125835,19950
1042108416,470912545,5929494,20035
1210027,508037,36312,20130
708625,481103,23454,20142
891425,306936,27428,20345
7313281,2466936,141947,20514
14205442,3394697,232170,20541
39589571,3559021,499188,20562
1008877,17987,30330,20616
21535197,16847189,348607,20923
771441,514456,25199,20934
12981425,10117368,238268,21203
36587417,26678119,510588,21312
2043391,949505,55044,21360
4848145,3521016,112008,21365
49008968,31373265,620869,21388
888149,210957,26533,21517
1171093,826509,37385,21591
988609568,340515825,5631409,21742
1143097,1100954,40173,21744
4626725,1765421,101063,21765
1232353,182209,35815,21953
265551073,225986944,2345540,22007
26078111,7701265,367254,22200
1625953,923520,46889,22416
3080353,1322800,74791,22436
722099665,331614431,4508010,22536
5743024,4871473,132127,22550
5825827,3035357,122532,22860
873824,49697,24924,23033
78599112,42687457,866355,23158
1018873,971594,36030,23199
227787337,44216377,1857541,23245
839373712,198995937,4947704,23415
415659825,287450353,3126627,23437
59334001,23060401,685759,23623
158676649,130694042,1579719,23748
81865992,16849,860652,23867
24791791,589505,351342,23880
25273610,7459273,358719,23892
2930616,954481,71208,23939
63249509,45669453,768215,24029
165797141,129270091,1609926,24102
5731953,2631760,119834,24111
12985105,4447953,218447,24231
7327721,693081,140839,24263
1527697,86224,42328,24427
53947777,11314824,630924,24479
254255737,15911042,2013630,24489
1029561,520121,30541,24529
2498633,960850,63363,24618
