# primitive nontrivial: X^3 +- Y^3 = A^6 + B^6, X>=Y, A>=B, gcd=1
# k=6  M=1000000  branch=diff
# X,Y,A,B,sign
285787728853,151097501435,520529,85381,-
314565143425,72794707128,529258,454047,-
287438184849,65170988336,530007,330592,-
327522185425,183126253988,548042,351863,-
401618553962,335107472783,548100,182259,-
474701724540,418114949951,548257,434370,-
669565577873,622917666614,561498,548163,-
1142728100256,1125803352575,571100,559359,-
387413140282,239474180167,573126,455847,-
434328606457,347769299064,584482,124245,-
1434690919999,1427246970751,596658,291228,-
3252824269585,3251333029836,599575,308142,-
670441400041,613677071916,603750,528595,-
426342711769,211926133068,611664,499909,-
441882692953,263545213620,611664,499909,-
1030928205385,1002557886200,613738,570691,-
994477433233,975598204020,616599,99614,-
383504453560,35521823799,619101,192880,-
451180193164,290504950167,620420,466419,-
437913405232,108001576959,624735,534298,-
403921384924,160538022039,627667,291714,-
6016102350493,6015528757811,629095,257051,-
401354559937,100759884972,631842,100511,-
414473104753,50542669712,640615,353632,-
1090919438473,1048598973092,649928,641885,-
441791229849,188119926860,655832,59355,-
602357802949,482912897235,663285,524357,-
712374156832,616015119135,709652,173553,-
1542490201305,1524089170796,711525,168302,-
587687610721,314932479312,745522,185553,-
2127478213610,2114513099999,747876,84645,-
845464395388,698455866647,748918,665875,-
582331314492,186319241855,758818,214527,-
1016577217252,942754972319,762932,499055,-
766182091348,527424484143,763959,686042,-
673202676658,199467522103,785976,628113,-
686955213793,356363365524,802162,481743,-
772313369328,572131228703,805615,120150,-
7087653865853,7085824188605,806736,1134,-
857572529529,486613928576,809077,785532,-
1914598073809,1876508965896,810647,708798,-
4593842893441,4589122480004,812906,463999,-
777123105217,465509505852,836856,540607,-
1452470982232,1393658835063,841795,339396,-
870886795081,612635116196,868862,265379,-
1670215634928,1601708241719,900282,510467,-
842030235160,394221130631,900560,363787,-
2544434036008,2499382521215,916336,802751,-
20684762840917,20684071803349,925302,798570,-
2614780458145,2558571850092,945071,863934,-
936436965745,251920040305,954684,603012,-
1036794317017,691659348358,960174,61335,-
3152193957361,3124642640689,966306,14256,-
1112091098280,621171598703,968407,823068,-
1138269554881,806082656532,990337,443748,-
1107863434528,532140168903,996565,782460,-
