# a^A + b^B = c^C + d^D, M=1000, exponents 2..8
# the only rows with sigma = 1/A+1/B+1/C+1/D < 1
A,B,C,D,a,b,c,d,N,sigma
2,5,7,7,42,7,3,4,18571,0.985714
2,7,5,7,72,2,5,3,5312,0.985714
