# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=10000000  branch=diff
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
834744,783263,17367,10036,-
2653833,2649175,17533,7823,-
528757,359171,17849,221,-
651119,540527,17880,11232,-
2311541,2304979,17943,5929,-
478837,147731,18047,4703,-
476661,115459,18073,2909,-
504113,245080,18304,5811,-
535729,248703,18393,12437,-
502576,184799,18604,5383,-
4413160,4410527,18614,13549,-
760065,671407,19193,5197,-
624601,467159,19241,8263,-
673625,538382,19347,9876,-
575297,106216,19402,14763,-
3512337,3508208,19765,2148,-
1843569,1827008,19779,10936,-
543826,16759,19872,8361,-
561569,252552,19993,5900,-
981050,874967,20163,18174,-
25598433,25598336,20240,12297,-
628225,267152,20261,15674,-
657633,118376,20330,18291,-
642728,146095,20441,17214,-
599181,56555,20573,13755,-
1614312,1588687,20620,11315,-
2375777,2361391,20707,15537,-
678961,381864,20708,16461,-
864883,642835,21258,20514,-
4496473,4491671,21665,16303,-
671433,434935,21667,2327,-
750365,493627,21879,16441,-
759936,301999,22058,20441,-
796066,634039,22116,10089,-
855856,717119,22127,11648,-
643888,258975,22249,8208,-
837785,695414,22395,3696,-
1470177,1429216,22541,3226,-
741905,59952,22859,19172,-
1134801,1055455,23101,5345,-
795336,599039,23167,2952,-
1893381,1855139,23257,18231,-
929525,793539,23429,6785,-
785432,553311,23513,9868,-
231142661,231142659,23773,5837,-
818688,393775,24007,19858,-
753081,455639,24013,1587,-
995105,860232,24263,6892,-
1474353,1405016,24490,16353,-
2520544,2500943,24511,9934,-
738216,301375,24520,10769,-
742353,256816,24635,12428,-
3074929,3061688,24707,6052,-
1431969,1360592,24733,14430,-
1134673,898016,25319,23890,-
917201,603400,25401,19190,-
783565,371869,25602,2400,-
761889,152528,25704,6841,-
2287296,2258735,25740,7813,-
2468513,2442888,25840,11545,-
777889,147264,25840,12135,-
3798256,3787631,25940,8725,-
1169505,969104,26025,21916,-
3171432,3145807,26140,23405,-
2198728,2160015,26513,15486,-
969896,723679,26809,11388,-
1309928,1197055,27012,2239,-
