# X^3 - Y^3 = A^4 + B^4
# primitive nontrivial, X>Y>0, A>=B>0, gcd=1
# diff branch, A,B <= 10^6
# n=3207
X,Y,A,B
1032421,105795,30365,22341
2572561,2522760,30428,18315
955761,784,30562,5039
1037232,93983,30579,22150
2506657,2456976,30708,13031
1093168,685535,30727,17452
1178385,843599,31301,16605
1139229,761387,31791,11195
1106096,489039,31871,21266
1224093,853675,31889,20539
1033777,127016,31903,16078
1139981,179739,32083,25399
1057072,133551,32178,18073
1501704,1319983,32263,7498
1076008,515295,32451,2062
1631169,1377967,32495,27931
2088289,1998288,32574,6317
14345200,14343279,32887,11250
1127773,430331,33145,19607
3835393,3806120,33179,16274
1159585,405992,33443,22166
1346800,920159,33458,25315
1081984,221087,33476,2135
1110745,480862,33498,2703
7669201,7661279,33613,18607
1475525,1240517,33684,11268
1176641,594415,33867,17935
1431680,1169967,33979,1796
6530080,6519327,34057,12936
3980161,3938984,34949,25826
2733089,2664312,35011,4070
1350785,908544,35039,21340
2187007,2075983,35070,5496
9695256,9689615,35505,5102
1280013,756731,35875,9297
1264881,618320,35898,18865
1449136,630735,36046,32415
1242824,582847,36174,9835
1529409,1215232,36538,4715
4354632,4318943,36675,21266
6223952,6195391,36816,34801
1285325,492139,36879,19825
1919505,1734367,36907,487
1251881,11150,37023,16980
2278881,2150264,37092,1207
1242213,47555,37207,4119
24438314,24437207,37257,15420
1625273,1244870,37638,24447
16765437,16763051,37657,5349
1366905,729319,37795,18823
5487623,5452631,37800,32382
1670312,1339231,37806,21539
1836264,1458223,37831,31954
16796829,16793803,38179,25697
814960153,814960151,38605,36443
3166849,3077327,39127,22885
2953777,2854991,39367,17711
1587896,1127119,39368,20301
1528209,820928,39817,26622
5695385,5658087,39833,32299
1389633,526735,39889,8669
2274058,1958455,40293,35634
2979338,2872391,40305,18126
1439425,471464,40670,19403
228262009,228261982,40695,34866
1841509,1501683,40713,18253
1684105,583559,41045,36317
1533137,885856,41083,15636
2186026,1951639,41091,20058
3440913,3353576,41094,20375
2092025,1667607,41219,35741
1439793,46480,41354,15649
11520361,11512055,42095,20147
4024177,3954456,42193,19986
3713653,3593955,42297,35531
1975137,1479496,42374,33389
3641953,3473615,42469,42097
1594693,553091,42559,27895
2297120,2040879,42695,23362
1507305,91607,42951,11971
1740096,294559,43177,36464
8061433,8040455,43349,27209
767598929,767598927,43355,6803
1864025,1431639,43379,6235
1603077,690691,43571,20771
3348377,3188726,43911,34398
2585425,2364944,44185,22214
1657984,782303,44566,19139
1734929,307183,44601,33343
2119488,1705055,44637,27766
2917585,2751512,44731,5176
3885449,3792663,44849,15443
1722197,239141,45108,31254
2018105,723079,45313,43635
8503321,8483559,45417,12187
1682768,788575,45448,9561
3917121,3756496,45455,41000
17801545,17794247,45809,39889
2796528,2583551,46043,19050
3008809,2831662,46143,1620
3789169,3659432,46225,30214
1893432,1293151,46376,1177
3311457,3160408,46445,17446
2534669,2262123,46549,10739
1878029,1238237,46590,10812
2215585,1832912,46606,1757
2596865,2336544,46700,961
1721632,101007,46710,24175
1787618,959015,46758,14991
2653441,2396984,46939,15374
3140209,2806992,47340,44227
1987265,1144152,47371,33862
2518705,1943112,47548,43347
8012961,7984400,47645,23946
1808905,678982,48216,21183
1771885,385597,48318,15324
1779984,145343,48619,14874
3091655,2869607,49326,5778
6288417,6234976,49597,22022
4781840,4673967,49774,32359
2721329,2393247,49777,23525
2324709,1830883,50129,18263
2031048,600175,50453,36016
2371248,1892815,50572,10163
10380881,10359784,50663,21618
2329928,590095,50929,48894
2363537,997791,50939,48377
1981416,250399,51628,28489
2407781,431379,51643,51001
2362256,1819375,51689,12090
22523993,22519191,51835,17213
4154213,3859251,51875,51383
3753297,3541256,51974,32871
2002658,893255,52002,8967
2528381,1716939,52073,44003
2362917,23171,52451,48699
5395834,5296663,52518,30771
10755338,10720535,52728,45561
2247024,31567,52991,43130
7056577,7002416,53231,736
2071921,916904,53329,13714
2112161,923760,53347,27050
2617401,1354999,53519,51871
2041729,454592,53590,20293
2739953,2301951,53605,18407
13998369,13983103,53693,28429
2058401,720639,53731,10541
2291569,270048,53757,43748
4716224,4582927,54223,5970
2145619,849187,54510,25704
3157269,2827843,54557,1249
40782581,40780099,55149,42073
29389920,29385119,55290,41939
4316329,4122118,55389,31314
2291800,1301807,55559,23458
5765413,5667251,55681,10165
4233263,4031951,55710,28758
7875485,7822827,55811,13193
2319480,593647,56203,38908
4656009,4484759,56265,29035
3451257,3111191,56483,30051
6097106,5919959,56511,54756
3931928,3518511,56780,51131
5217841,5072064,56836,32691
5006225,4846272,57332,30293
2308752,491023,57352,34205
2828353,2169440,57521,34808
5590216,5465535,57644,24975
4165680,3805807,58057,49078
2769193,1818550,58194,44013
2273296,400335,58465,3534
2813664,1346927,58830,52937
2505680,1550799,58849,9550
2419281,1209295,58861,24955
2508033,1059920,58888,39999
2523977,1565126,59151,7428
2495329,1486287,59163,7055
3060181,2500499,59179,29509
2376385,806912,59248,27503
