# primitive nontrivial: X^3 +- Y^3 = A^5 + B^5, X>=Y, A>=B, gcd=1
# k=5  M=1000000  branch=diff
# X,Y,A,B,sign
689128633,253905832,198486,77673,-
2362255120,2341902955,200014,112061,-
695686436,229389443,200085,83034,-
749596679,343649141,207003,55455,-
1017667923,866717362,209427,5372,-
865976375,137885527,221098,163944,-
2620745461,2579280136,221594,198301,-
1893972356,1833331949,227163,121974,-
1097993432,822814709,227662,173027,-
873543913,373418566,227880,801,-
862309481,206743856,229145,56920,-
1124522455,350947477,233369,232993,-
1185675704,904315856,234769,184559,-
2084689818,2016428710,240165,144107,-
2563870690,2489552499,240301,228450,-
2357156207,2303979855,244070,53028,-
962003086,58115655,244929,97102,-
2820825680,2764735630,245191,211809,-
1380115114,1192919045,247451,80388,-
994262864,292430535,249033,35756,-
1375279960,1162839539,249604,143077,-
1397221711,1199095560,250959,96022,-
1035532940,58039601,256335,81114,-
1066501036,228429868,260549,52795,-
1068466255,124804626,260999,92300,-
6122610059,6111604284,261908,79107,-
1918886985,1737492002,264358,221169,-
1185458825,625218518,267880,133313,-
1149049435,513063293,267953,59325,-
1201587335,574215090,268623,171152,-
3604900929,3563597768,275297,101150,-
1204818999,377768555,278749,103815,-
1241028939,573455030,280056,32203,-
1224461887,85673896,282783,121914,-
1332146740,38498315,283549,221326,-
1380191902,670915969,283575,218094,-
4915812168,4890132817,284111,60168,-
2037360803,1829729964,284156,216747,-
1991040245,1777578110,287028,200997,-
3635121097,3578160925,288759,184749,-
1321844650,329308107,296037,46990,-
1984260087,1643150619,297301,253823,-
1330840255,293280930,297424,84951,-
2071355005,1848759150,302333,133442,-
6532525933,6512336457,303281,101723,-
1402907245,540422426,304150,55069,-
2055201503,1624836328,308396,275999,-
5326972802,5291260793,309846,174975,-
1642634561,1095864473,315297,44727,-
2450770661,2234872599,318567,194255,-
1711864214,863837639,319136,254209,-
1521849548,508792197,320691,64358,-
2799570238,2485272837,321566,316043,-
3518759302,3409376360,330287,94281,-
16224262661,16216164524,333750,295437,-
1763919875,450164721,345617,215577,-
3753185120,3622444689,348542,180399,-
2953941336,2738619955,349317,128114,-
1866634948,1089176131,349461,6030,-
27824220156,27821720657,351524,212879,-
17298590101,17292492149,352886,28236,-
3960681839,3826618415,354666,217458,-
2079968895,698044549,365571,292175,-
1890045557,6582965,367918,100550,-
7700426195,7661715560,369076,80699,-
2316666433,1765209857,369986,8058,-
1969159218,806979025,371735,102942,-
2198891953,1520109852,371953,8346,-
66232220945,66231594186,372681,254078,-
3902967089,3709910555,373641,256533,-
2040511875,889809102,374738,209299,-
2084297263,435323471,385178,218148,-
162062521519,162062394568,385391,272446,-
44142598033,44140980908,391057,198418,-
2583485705,749169290,396386,371089,-
1201549068424,1201549064363,396861,378266,-
7876738482,7816397680,406835,36213,-
2737601689,2014829958,408017,252650,-
2413975532,561566930,414183,279345,-
3046027327,2510870452,415824,7551,-
2696977802,1203101039,418137,347862,-
5729406652,5572499770,422187,276621,-
2578058498,1483989797,424923,106116,-
3084501305,2473586976,426185,172164,-
2888967997,2090721936,431573,65654,-
2541940429,1028716816,433605,96798,-
3047033441,2327751416,435564,48801,-
10966351340,10913007918,439415,307953,-
4081718688,3706557266,443091,66565,-
2860920318,4996643,443532,362413,-
3355335658,2619792417,447719,282680,-
4477010392,3922105393,449967,405444,-
25212327624,25202605681,450376,75247,-
2681231583,278312289,450955,227123,-
2678353595,735500474,451755,33366,-
6942334374,6807958099,452902,27613,-
15167959977,15139956543,453241,175265,-
3124231301,2097098370,453790,289381,-
13115823158,13074258008,461229,219531,-
3597569954,2855382454,465225,271975,-
3078779659,1882304203,468166,118886,-
6890455973,6709158032,472840,272909,-
2926997176,907902076,473109,228651,-
12274959788,12215626597,483250,201939,-
3799433604,3033203667,485381,11500,-
4799980449,3837531050,490105,481194,-
3345182904,1198929916,493773,363635,-
4321490997,2945606806,498392,475845,-
7663939787,7476679046,500619,237348,-
5076031845,4541055493,503820,342098,-
3417477359,1853529359,505626,218424,-
4552419004,3730426954,505647,393033,-
3580908385,2222860930,509402,229273,-
5160621829,4655664710,509877,290372,-
3839908876,2245329978,511305,400879,-
3321173200,629576589,515422,94779,-
3354549993,471531300,518552,171865,-
12983834837,12908175462,520005,113930,-
3412613056,628995956,523967,65793,-
3635252550,1940203643,526330,203013,-
11379119921,11264618321,526899,321261,-
30302475836,30286824475,527597,294434,-
7739691479,7497779143,528227,251405,-
3646522714,1798908321,532116,89767,-
3750617011,1647337011,543258,249742,-
18637313505,18583286460,547564,369761,-
3725401045,1209862624,549085,116276,-
6179653603,5680574510,555006,117491,-
4390173290,3059953135,561721,131004,-
4540286865,3022708286,568206,367993,-
32251079722,32231002309,568576,316763,-
3973071731,45002003,572802,253812,-
5005122404,945173417,574311,573540,-
5749274960,5023192570,575793,52807,-
107618171725,107615505325,576734,492016,-
4858541528,1656467151,579590,537201,-
8362476778,7965891666,594667,345909,-
4268326555,1061657474,598091,128880,-
4619790369,2756476673,599574,176068,-
4658547739,2852247739,600210,8580,-
5077590090,3444775027,602413,403504,-
6183998977,5338299361,609606,176736,-
4629749279,1907852954,618199,288596,-
4527282094,856093903,620745,16422,-
12125338723,11911999544,621131,18942,-
6031212506,4958552807,623249,321454,-
5189057961,3452121542,626273,295160,-
22069077211,21977686936,626547,515568,-
6943909690,5304050700,635649,606151,-
17335830050,17219304961,636358,5511,-
4867969070,2151484139,637557,141864,-
7421761266,6633890809,643519,365278,-
7779908439,7086561708,648742,158855,-
5638490693,3973642735,650207,198095,-
30369614556,30325377099,654749,285418,-
5076753150,2015216307,657245,114982,-
5569854710,3305670499,667245,338026,-
9758073202,9108494836,671751,516321,-
6437688795,5061203697,671981,168421,-
6947501888,5547901747,680485,451044,-
5467771994,834462731,681050,439333,-
10487202783,10006249204,685204,216799,-
6246904346,4006615845,709083,181898,-
23298459204,23103055880,714907,663717,-
6021423499,2529513465,723285,334549,-
6390829901,394704744,725048,570789,-
9026172283,7667398233,730931,597239,-
6005488217,1521318489,733976,142008,-
6274067801,3223890457,734282,88946,-
7749314491,5866431016,740499,527436,-
13101557137,12638763446,740633,372234,-
7590090906,5887093777,747342,157751,-
6878210584,4288252037,750270,388211,-
7003445239,4547875078,750414,409263,-
6525976184,622169737,752480,515591,-
46635767030,46596526499,759501,314880,-
9395676494,7770331126,765697,627231,-
6457142725,584877139,769059,6687,-
7554392549,83055818,770533,692714,-
7034809879,3460169513,789489,78413,-
7477822666,470700343,789732,644097,-
8795142200,5211179345,793602,741423,-
9730744677,7424548556,808668,698509,-
9494576773,7943065962,812517,229132,-
14857935576,14300754395,812530,259821,-
7605379153,3402542003,819321,500189,-
25287518206,25091181188,821093,219891,-
7233341630,799519543,823153,118830,-
7325948489,274945076,823385,430018,-
7341224605,1895723071,827817,151917,-
7367319510,1582806155,830792,166133,-
49336721900,49281801855,832776,144449,-
9820935460,5595586189,839899,812492,-
13662326875,12559995922,841931,680356,-
15463007104,14846616461,842612,34971,-
61074733172,61020630211,842948,709109,-
9521448300,4018119698,843417,820351,-
20871539154,20536296983,845121,17416,-
7599858394,999005051,846261,330152,-
8884777015,1634743851,850689,758755,-
22951385000,22623354168,870525,406403,-
12063865499,9617495388,875636,811251,-
15714656752,14804543631,882568,631569,-
9056764354,5594810063,882824,500793,-
8347413882,2441094025,892710,168623,-
8444331826,993473305,894271,493340,-
15609175977,13952073401,896347,873525,-
9524590526,84055489,897655,775902,-
100539062175,100505499001,910305,829349,-
9510344720,5988714718,915083,327005,-
20760175043,20050525443,915994,752746,-
16594122386,15700493595,930814,213397,-
12145000878,10285876317,931712,253507,-
23707235530,23265379639,939252,186369,-
20763511899,20176885375,939339,361385,-
23499121249,23039209390,943324,163145,-
10850549650,7956677955,949821,234154,-
12937995380,11153132460,951119,12081,-
12402749871,10244888789,959073,462529,-
31337969822,31043466063,962441,507750,-
11512542115,8540984724,979755,106516,-
9714849305,1406237015,982187,130663,-
34368676581,34103956628,984322,368877,-
16000701576,14274341787,993389,739174,-
