# primitive nontrivial: X^3 +- Y^3 = A^5 + B^5, X>=Y, A>=B, gcd=1
# k=5  M=1000000  branch=diff
# X,Y,A,B,sign
11,4,4,3,-
251,89,27,15,-
1046,969,46,31,-
3436,3405,64,27,-
2801,2695,75,31,-
14305,8664,289,192,-
26751,15775,426,260,-
33344,9452,515,61,-
50950,40049,546,455,-
165551,164569,589,393,-
104915,46186,1011,148,-
188465,136864,1174,1137,-
146532,86459,1197,532,-
195171,112267,1369,1039,-
272545,239772,1441,756,-
276869,222597,1448,1308,-
215938,151197,1459,270,-
428917,410692,1533,1032,-
250909,21309,1576,1434,-
411632,381743,1698,273,-
1583660,1581139,1797,724,-
406034,341259,1936,229,-
1015321,1002583,1999,1475,-
393414,95789,2268,307,-
591036,526950,2269,107,-
884803,821315,2676,1076,-
616875,46280,2979,496,-
2687882,2674649,3098,511,-
868955,436702,3424,2523,-
6621994,6615231,3458,3305,-
6276144,6270751,3617,1776,-
963409,452122,3734,2377,-
1612728,1487981,3898,603,-
6087274,6074973,4222,1875,-
1521214,1142539,4236,3669,-
1157786,218672,4341,147,-
1228999,378375,4470,1774,-
13302649,13296311,5073,1265,-
1602752,744477,5074,3211,-
1605683,337061,5277,1569,-
2172891,1576018,5642,3627,-
2774266,1682941,6899,3946,-
2785092,565421,7336,2811,-
27529191,27516514,7606,5071,-
4148205,3399974,7966,45,-
3753277,215402,8528,5997,-
3979111,2357086,8688,3327,-
13510355,13408715,8857,3743,-
5620841,4631817,9476,4482,-
5547002,4264569,9620,6399,-
26229179,26182361,9927,2211,-
11328408,10911442,10909,2875,-
9723061,8885845,11682,1884,-
8296455,1356607,12537,12095,-
11574467,10198499,12922,10532,-
19764939,19291745,13091,10943,-
12864972,11200331,13245,12592,-
9773005,7957950,13384,141,-
8393129,4471362,13553,8508,-
9474494,2461752,14715,10781,-
34493155,34233650,15584,2691,-
13507139,7661651,17035,14213,-
29274463,28574463,17740,1650,-
16629099,10821374,18064,16971,-
19175252,16993355,18426,7197,-
28097539,27079696,18722,7531,-
17411595,14290215,18811,5489,-
16113319,11704327,18846,11520,-
51950983,51551971,19921,9275,-
91180190,90987005,21027,14748,-
19937887,14048863,21192,15444,-
18929217,6569914,21396,18233,-
54657429,54007538,21608,15989,-
36296724,35030723,21717,3610,-
116743103,116613151,21806,13040,-
18399662,7890691,22477,3780,-
79951035,79542299,23900,1646,-
185430314,185307510,24021,21563,-
21517599,5171700,24634,14975,-
48600369,47044056,24913,16100,-
22199954,4229941,25520,8363,-
33776373,28989074,26933,3230,-
38843743,34927743,27594,3556,-
29758276,3564982,30477,6651,-
38625032,30419450,30755,18133,-
31461022,11009888,31245,7691,-
93544900,92374929,31358,6383,-
85028219,83410502,31960,16091,-
37610825,13294018,34770,8113,-
81968621,77800308,37989,14750,-
46208794,17099901,38156,26387,-
49787265,17623649,40536,24310,-
51019727,1981606,41718,22999,-
240074624,238941580,45499,645,-
83725901,68556890,45710,36541,-
92621265,82553189,47107,609,-
98495910,83301670,47833,41767,-
191324695,188074830,49348,35727,-
84050830,54251555,49788,41837,-
71758488,34679941,50480,5331,-
71555927,13418744,51495,17964,-
136210904,128173829,52051,33044,-
114294766,102955716,52557,14923,-
722658985,722397436,52761,15048,-
104792218,73736760,53615,49817,-
88938265,18978243,54073,47205,-
169252036,163231711,54849,19446,-
81423812,14131771,55718,3149,-
115230618,99121677,56110,1859,-
117363097,99870347,57351,5999,-
160086214,149173646,58091,41397,-
147344293,130666418,62469,27806,-
137996378,102344509,63699,55084,-
175219696,162735571,63717,28758,-
106692563,19951184,64240,40763,-
109199684,48572457,65268,19943,-
219951977,207050402,69118,45137,-
162899555,105663011,70686,67278,-
259886737,246061112,70956,61169,-
189692899,165272624,74606,459,-
207308196,180075034,76517,53715,-
781487253,779175053,80297,61583,-
424990832,412233170,80925,79803,-
2904000048,2903763423,89921,40354,-
372721364,357040089,91036,25879,-
199340111,78151560,91439,63732,-
4001539876,4001390465,91876,57535,-
252474241,205133739,92791,56631,-
645354023,639511912,93642,31927,-
202981283,49702664,96203,7810,-
4595701316,4595537509,98284,65523,-
664377343,656592767,99618,51926,-
349491062,318293588,100809,31407,-
349748227,317106979,101248,48026,-
699126487,690577679,104367,7817,-
866501360,860559435,104701,58924,-
651143456,639293156,108153,19527,-
372594121,331574263,108807,29307,-
295020494,38926744,110705,97895,-
261615872,90158130,111419,17949,-
393873010,315284690,114859,99541,-
308614376,202130275,115240,60501,-
289849398,72022162,115757,79587,-
1017536465,1009916552,115818,76689,-
579861380,557510078,116649,39039,-
285807190,7591549,117571,61520,-
473392586,436271115,118117,35914,-
312665021,181962685,119668,11568,-
1509544033,1505366442,123284,11225,-
322137475,156461876,124124,42315,-
541920060,503488374,125801,23455,-
452749005,382689510,128173,73652,-
349697850,32482732,133687,30865,-
359705758,74474464,135765,20163,-
489806142,409178617,137231,50604,-
697286698,646854074,140513,106335,-
468273799,40879405,148179,125535,-
645317761,513782709,150261,141391,-
459851916,199236187,152173,94990,-
482187649,282407467,153453,85233,-
924929761,890199736,153718,18497,-
580469837,468143609,156169,39635,-
851845105,771057024,162225,136486,-
672333083,433633083,162858,160892,-
694296056,497351781,165331,154534,-
2515044718,2505478780,166455,139617,-
1906692174,1887318025,168255,149354,-
587277650,368170729,171458,85103,-
633476675,437067174,174195,100646,-
859648771,776605384,175140,73227,-
574374781,77322194,178285,97702,-
728791119,356084378,183047,168650,-
926657224,794800807,185769,148572,-
678302014,212298808,191295,135897,-
657377015,188816065,192703,103047,-
745936163,510263902,195032,27347,-
957902975,816639402,195223,138394,-
710343645,414355568,195440,73493,-
678869720,109990825,196868,109607,-
